hosts_total,time,hosts_responded
8192 ,"09:00:02
",2174 
8192 ,"09:05:01
",2108 
8192 ,"09:10:01
",2027 
8192 ,"09:15:01
",2019 
8192 ,"09:20:01
",1959 
8192 ,"09:25:01
",1972 
8192 ,"09:30:01
",2001 
8192 ,"09:35:01
",2031 
8192 ,"09:40:01
",2024 
8192 ,"09:45:01
",2037 
8192 ,"09:50:01
",2020 
8192 ,"09:55:01
",2041 
8192 ,"10:00:01
",2083 
8192 ,"10:05:02
",2102 
8192 ,"10:10:01
",2143 
8192 ,"10:15:01
",2172 
8192 ,"10:20:01
",2170 
8192 ,"10:25:01
",2205 
8192 ,"10:30:01
",2235 
8192 ,"10:35:01
",2164 
8192 ,"10:40:01
",2149 
8192 ,"10:45:02
",2069 
8192 ,"10:50:01
",2111 
8192 ,"10:55:01
",2091 
8192 ,"11:00:01
",2147 
8192 ,"11:05:01
",2142 
8192 ,"11:10:01
",2148 
8192 ,"11:15:01
",2185 
8192 ,"11:20:01
",2186 
8192 ,"11:25:01
",2194 
8192 ,"11:30:01
",2188 
8192 ,"11:35:01
",2264 
8192 ,"11:40:01
",2247 
8192 ,"11:45:01
",2234 
8192 ,"11:50:01
",2241 
8192 ,"11:55:01
",2252 
8192 ,"12:00:01
",2152 
8192 ,"12:05:01
",2128 
8192 ,"12:10:01
",2129 
8192 ,"12:15:24
",2150 
8192 ,"12:20:01
",2170 
8192 ,"12:25:01
",2183 
8192 ,"12:30:01
",2199 
8192 ,"12:35:01
",2218 
8192 ,"12:40:01
",2198 
8192 ,"12:45:01
",2243 
8192 ,"12:50:01
",2244 
8192 ,"12:55:01
",2246 
8192 ,"13:00:01
",2247 
8192 ,"13:05:01
",2239 
8192 ,"13:10:01
",2253 
8192 ,"13:15:02
",2291 
8192 ,"13:20:01
",2317 
8192 ,"13:25:01
",2287 
8192 ,"13:30:02
",2283 
8192 ,"13:35:01
",2293 
8192 ,"13:40:02
",2247 
8192 ,"13:45:01
",2219 
8192 ,"13:50:01
",2234 
8192 ,"13:55:01
",2215 
8192 ,"14:00:02
",2227 
8192 ,"14:05:01
",2233 
8192 ,"14:10:02
",2170 
8192 ,"14:15:02
",2199 
8192 ,"14:20:01
",2187 
8192 ,"14:25:01
",2244 
8192 ,"14:30:01
",2259 
8192 ,"14:35:01
",2291 
8192 ,"14:40:01
",2290 
8192 ,"14:45:01
",2327 
8192 ,"14:50:01
",2328 
8192 ,"14:55:01
",2292 
8192 ,"15:00:01
",2318 
8192 ,"15:05:01
",2331 
8192 ,"15:10:01
",2330 
8192 ,"15:15:01
",2341 
8192 ,"15:20:01
",2357 
8192 ,"15:25:01
",2396 
8192 ,"15:30:02
",2387 
8192 ,"15:35:01
",2409 
8192 ,"15:40:02
",2432 
8192 ,"15:45:01
",2485 
8192 ,"15:50:01
",2490 
8192 ,"15:55:01
",2545 
8192 ,"16:00:01
",2541 
8192 ,"16:05:01
",2599 
8192 ,"16:10:01
",2566 
8192 ,"16:15:01
",2564 
8192 ,"16:20:02
",2574 
8192 ,"16:25:02
",2609 
8192 ,"16:30:01
",2610 
8192 ,"16:35:01
",2675 
8192 ,"16:40:02
",2739 
8192 ,"16:45:02
",2754 
8192 ,"16:50:01
",2731 
8192 ,"16:55:02
",2670 
8192 ,"17:00:02
",2617 
8192 ,"17:05:01
",2606 
8192 ,"17:10:01
",2601 
8192 ,"17:15:02
",2624 
8192 ,"17:20:01
",2606 
8192 ,"17:25:01
",2621 
8192 ,"17:30:01
",2611 
8192 ,"17:35:01
",2615 
8192 ,"17:40:01
",2550 
8192 ,"17:45:01
",2527 
8192 ,"17:50:01
",2528 
8192 ,"17:55:01
",2553 
8192 ,"18:00:01
",2558 
8192 ,"18:05:01
",2541 
8192 ,"18:10:01
",2512 
8192 ,"18:15:02
",2504 
8192 ,"18:20:01
",2483 
8192 ,"18:25:02
",2477 
8192 ,"18:30:02
",2523 
8192 ,"18:35:01
",2556 
8192 ,"18:40:01
",2584 
8192 ,"18:45:02
",2599 
8192 ,"18:50:01
",2576 
8192 ,"18:55:01
",2642 
8192 ,"19:00:02
",2634 
8192 ,"19:05:01
",2657 
8192 ,"19:10:02
",2694 
8192 ,"19:15:01
",2702 
8192 ,"19:20:01
",2711 
8192 ,"19:25:01
",2722 
8192 ,"19:30:01
",2672 
8192 ,"19:35:01
",2664 
8192 ,"19:40:01
",2654 
8192 ,"19:45:01
",2693 
8192 ,"19:50:01
",2679 
8192 ,"19:55:01
",2745 
8192 ,"20:00:01
",2772 
8192 ,"20:05:01
",2749 
8192 ,"20:10:01
",2764 
8192 ,"20:15:01
",2820 
8192 ,"20:20:01
",2812 
8192 ,"20:25:01
",2861 
8192 ,"20:30:01
",2851 
8192 ,"20:35:01
",2864 
8192 ,"20:40:02
",2855 
8192 ,"20:45:01
",2883 
8192 ,"20:50:01
",2886 
8192 ,"20:55:01
",2917 
8192 ,"21:00:01
",2954 
8192 ,"21:05:02
",2984 
8192 ,"21:10:01
",3004 
8192 ,"21:15:01
",3050 
8192 ,"21:20:01
",3037 
8192 ,"21:25:01
",3077 
8192 ,"21:30:02
",3144 
8192 ,"21:35:01
",3131 
8192 ,"21:40:02
",3172 
8192 ,"21:45:01
",3199 
8192 ,"21:50:01
",3211 
8192 ,"21:55:01
",3229 
8192 ,"22:00:02
",3211 
8192 ,"22:05:01
",3230 
8192 ,"22:10:02
",3246 
8192 ,"22:15:02
",3259 
8192 ,"22:20:01
",3272 
8192 ,"22:25:01
",3284 
8192 ,"22:30:01
",3288 
8192 ,"22:35:01
",3355 
8192 ,"22:40:01
",3329 
8192 ,"22:45:01
",3283 
